Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,4/29/2016 4:00:00 AM,0,0.0
1503960366,4/29/2016 5:00:00 AM,0,0.0
1503960366,4/29/2016 6:00:00 AM,0,0.0
1503960366,4/29/2016 7:00:00 AM,3,0.05
1503960366,4/29/2016 8:00:00 AM,13,0.216667
1503960366,4/29/2016 9:00:00 AM,33,0.55
1503960366,4/29/2016 10:00:00 AM,4,0.066667
1503960366,4/29/2016 11:00:00 AM,4,0.066667
1503960366,4/29/2016 12:00:00 PM,6,0.1
1503960366,4/29/2016 1:00:00 PM,6,0.1
1503960366,4/29/2016 2:00:00 PM,56,0.933333
1503960366,4/29/2016 3:00:00 PM,23,0.383333
1503960366,4/29/2016 4:00:00 PM,10,0.166667
1503960366,4/29/2016 5:00:00 PM,9,0.15
1503960366,4/29/2016 6:00:00 PM,5,0.083333
1503960366,4/29/2016 7:00:00 PM,11,0.183333
1503960366,4/29/2016 8:00:00 PM,16,0.266667
1503960366,4/29/2016 9:00:00 PM,20,0.333333
1503960366,4/29/2016 10:00:00 PM,27,0.45
1503960366,4/29/2016 11:00:00 PM,56,0.933333
1503960366,4/30/2016 12:00:00 AM,1,0.016667
1503960366,4/30/2016 1:00:00 AM,7,0.116667
1503960366,4/30/2016 2:00:00 AM,0,0.0
1503960366,4/30/2016 3:00:00 AM,1,0.016667
1503960366,4/30/2016 4:00:00 AM,0,0.0
1503960366,4/30/2016 5:00:00 AM,0,0.0
1503960366,4/30/2016 6:00:00 AM,0,0.0
1503960366,4/30/2016 7:00:00 AM,0,0.0
1503960366,4/30/2016 8:00:00 AM,3,0.05
1503960366,4/30/2016 9:00:00 AM,11,0.183333
1503960366,4/30/2016 10:00:00 AM,17,0.283333
1503960366,4/30/2016 11:00:00 AM,7,0.116667
1503960366,4/30/2016 12:00:00 PM,4,0.066667
1503960366,4/30/2016 1:00:00 PM,11,0.183333
1503960366,4/30/2016 2:00:00 PM,22,0.366667
1503960366,4/30/2016 3:00:00 PM,26,0.433333
1503960366,4/30/2016 4:00:00 PM,99,1.65
1503960366,4/30/2016 5:00:00 PM,55,0.916667
1503960366,4/30/2016 6:00:00 PM,71,1.183333
1503960366,4/30/2016 7:00:00 PM,4,0.066667
1503960366,4/30/2016 8:00:00 PM,5,0.083333
1503960366,4/30/2016 9:00:00 PM,22,0.366667
1503960366,4/30/2016 10:00:00 PM,47,0.783333
1503960366,4/30/2016 11:00:00 PM,28,0.466667
1503960366,5/1/2016 12:00:00 AM,9,0.15
1503960366,5/1/2016 1:00:00 AM,8,0.133333
1503960366,5/1/2016 2:00:00 AM,2,0.033333
1503960366,5/1/2016 3:00:00 AM,1,0.016667
1503960366,5/1/2016 4:00:00 AM,0,0.0
1503960366,5/1/2016 5:00:00 AM,0,0.0
1503960366,5/1/2016 6:00:00 AM,0,0.0
1503960366,5/1/2016 7:00:00 AM,3,0.05
1503960366,5/1/2016 8:00:00 AM,6,0.1
1503960366,5/1/2016 9:00:00 AM,12,0.2
1503960366,5/1/2016 10:00:00 AM,6,0.1
1503960366,5/1/2016 11:00:00 AM,10,0.166667
1503960366,5/1/2016 12:00:00 PM,10,0.166667
1503960366,5/1/2016 1:00:00 PM,5,0.083333
1503960366,5/1/2016 2:00:00 PM,25,0.416667
1503960366,5/1/2016 3:00:00 PM,21,0.35
